RestaurantName,Cuisine,Rating,NumberofRatings,NumberofOffers,Area,PureVeg,Location
Just Punjabi,North Indian- Chinese,5,10+ ratings,5,JANAKPURI,No,Delhi
Tandoori Palace,North Indian- Chinese,2.4,3 ratings,5,JANAKPURI,No,Delhi
Masala Twist,North Indian- Chinese,5,10+ ratings,5,JANAKPURI,No,Delhi
Masala Fusion,North Indian- Chinese,5,10+ ratings,5,Janakpuri,No,Delhi
Punjab Da Dhaba,North Indian- Chinese,5,10+ ratings,5,JANAKPURI,No,Delhi
Desi Express,Chinese- Mughlai,5,10+ ratings,5,JANAKPURI,No,Delhi
Wakeup Cafe,Cafe- Fast Food,NEW,,4,Janakpuri,Yes,Delhi
Shudh Vaishno Dhaba,North Indian- Snacks,3.5,50+ ratings,5,Janakpuri,No,Delhi
Singh Sahab,Chinese- Indian,--,Too Few Ratings,5,Janakpuri,No,Delhi
Indian Masala House,Snacks- Chinese,4.9,10+ ratings,5,JANAKPURI,No,Delhi
Punjabi Swaad,North Indian- Chinese,4.6,10+ ratings,5,JANAKPURI,No,Delhi
It'S Pizza Time,Italian- Pizzas,3.8,100+ ratings,5,Janakpuri,Yes,Delhi
PUNJABI SWAD,North Indian- Chinese,NEW,,5,JANAKPURI,No,Delhi
Flavours Restaurant,North Indian- Chinese,5,10+ ratings,5,JANAKPURI,No,Delhi
Dhaba Express,North Indian- Chinese,5,10+ ratings,5,JANAKPURI,No,Delhi
Tandoori Grill,North Indian- Chinese,NEW,,5,JANAKPURI,No,Delhi
Tandoori Night,North Indian- Chinese,NEW,,5,JANAKPURI,No,Delhi
Food 365,North Indian- Chinese,5,10+ ratings,5,JANAKPURI,No,Delhi
Curry Corner,North Indian- Chinese,5,10+ ratings,5,JANAKPURI,No,Delhi
Delicacy Bakers & Patisserie,Bakery,--,Too Few Ratings,5,Janakpuri,Yes,Delhi
Bablu Paan,Desserts,4.3,100+ ratings,5,Janakpuri,Yes,Delhi
Cake Bake Place,Bakery,--,Too Few Ratings,4,Janakpuri,Yes,Delhi
Home Made Non-Veg,Indian,4.6,20+ ratings,4,Janakpuri,No,Delhi
Parantha Addiction,North Indian,NEW,,5,Janakpuri,Yes,Delhi
King Of Bakers,Bakery- Desserts,--,Too Few Ratings,5,Janakpuri,Yes,Delhi
B4U Biryani,Biryani- Kebabs,NEW,,4,Janakpuri,No,Delhi
Biryani'S Queen,Indian- Snacks,--,Too Few Ratings,5,Janakpuri,No,Delhi
Hunger'S,Indian- Beverages,4.8,7 ratings,5,Janakpuri,No,Delhi
AK Cloud Kitchen,Indian- Snacks,--,Too Few Ratings,4,Janakpuri,No,Delhi
Bhukkad Veera,Indian- Snacks,--,Too Few Ratings,5,Janakpuri,Yes,Delhi
Singh Is King,Indian- Fast Food,NEW,,5,Janakpuri,No,Delhi
Bombay 2 Amritsar,Maharashtrian- Snacks,NEW,,0,Janakpuri,Yes,Delhi
Geyra'S Foodelicious,Indian,--,Too Few Ratings,4,Janakpuri,No,Delhi
Sardar Ji Kulche Wale,Indian,NEW,,4,Janakpuri,Yes,Delhi
Suganya'S,South Indian- Chinese,4.1,5K+ ratings,5,Janakpuri,Yes,Delhi
Burki The Bite,North Indian- Beverages,NEW,,5,Janakpuri,Yes,Delhi
Rezhit Dish,South Indian- Chinese,NEW,,4,Janakpuri,Yes,Delhi
Danish Patisserie,Fast Food- Indian,3.6,10+ ratings,5,Janakpuri,No,Delhi
Taste Of Jaipur,North Indian- Chinese,NEW,,5,JANAKPURI,No,Delhi
Mouth Watering,North Indian- Chinese,5,10+ ratings,5,JANAKPURI,No,Delhi
Shree Radhe Ki Rasoi,Indian,2.4,10+ ratings,5,Janakpuri,Yes,Delhi
SR CAKE POINT,Bakery,--,Too Few Ratings,5,Janakpuri,No,Delhi
Maa Annapoorna Rasoi,North Indian- Chinese,NEW,,5,JANAKPURI,No,Delhi
Punjabi Chatkara,North Indian- Chinese,5,10+ ratings,5,JANAKPURI,No,Delhi
Shambhu Ji Chole Kulche,Indian,2.9,5 ratings,5,Janakpuri,Yes,Delhi
Dalmakhhani.Com,Indian- Sweets,--,Too Few Ratings,5,Janak Puri,Yes,Delhi
Gupta Sweets And Caterers,Indian- Snacks,NEW,,4,Janakpuri,Yes,Delhi
Vinayak Amritsari Koolcha Land,Indian,4.3,9 ratings,5,Janakpuri,Yes,Delhi
Just Foodies,North Indian- Chinese,5,10+ ratings,5,JANAKPURI,No,Delhi
Bermuda Cafe,Pizzas- Burgers,--,Too Few Ratings,4,Janakpuri,No,Delhi
Bombay Club,North Indian- Snacks,4.8,10+ ratings,5,JANAKPURI,No,Delhi
Dharshan Chole Bathture,North Indian,NEW,,4,Janakpuri,Yes,Delhi
Shiv Shankar Dhaba,North Indian,3.4,50+ ratings,5,Janakpuri,Yes,Delhi
Gupta Ji Famous Burger,American- Snacks,2.4,7 ratings,4,Janakpuri,Yes,Delhi
The Broken Rice,North Indian- Thalis,4.5,3 ratings,5,Janakpuri,Yes,Delhi
Burger By Weirdos,Burgers- Snacks,--,Too Few Ratings,4,Janakpuri,No,Delhi
New Indian Cart,North Indian- Chinese,5,10+ ratings,5,JANAKPURI,No,Delhi
Tyagi S Cafe And Restaurant,Chinese- Italian,--,Too Few Ratings,4,Janakpuri,Yes,Delhi
Delicieux Chinese,Chinese,4.1,500+ ratings,4,Janakpuri,No,Delhi
Pizza Xpertz,Pizzas- Pastas,3.8,9 ratings,5,Janakpuri,No,Delhi
Curry Bites,North Indian- Chinese,5,10+ ratings,5,JANAKPURI,No,Delhi
Delicious Meals,North Indian- Chinese,5,10+ ratings,5,JANAKPURI,No,Delhi
Deshi Rasoi,North Indian- Chinese,5,10+ ratings,5,JANAKPURI,No,Delhi
Food-G,Chinese- Italian,--,Too Few Ratings,4,Janakpuri,No,Delhi
Egg Omelete Hungry,Indian- Snacks,--,Too Few Ratings,4,Janakpuri,No,Delhi
Delicious Moment,Snacks- Chinese,5,10+ ratings,5,JANAKPURI,No,Delhi
Ramrati Tiffin,North Indian- Chinese,NEW,,5,Janakpuri,Yes,Delhi
Tandoor Pitara,Snacks- Chinese,5,10+ ratings,5,JANAKPURI,No,Delhi
The Old Delhi,North Indian- Biryani,3.8,20+ ratings,5,Janakpuri,No,Delhi
Raahi Foods,North Indian- Biryani,3.5,10+ ratings,5,Janakpuri,Yes,Delhi
Dilli Tikka House,North Indian- Chinese,5,10+ ratings,5,JANAKPURI,No,Delhi
Vape N Pizza,Pizzas,3.7,20+ ratings,4,Janakpuri,No,Delhi
Parantha Kingdom,Indian- Chinese,4.4,4 ratings,5,Janakpuri,No,Delhi
Kha Le Sasta,North Indian- Chinese,5,10+ ratings,5,JANAKPURI,No,Delhi
Old Punjabi Dahba,North Indian- Chinese,NEW,,5,Janakpuri,No,Delhi
Kernal Kabab,North Indian- Chinese,5,8 ratings,5,JANAKPURI,No,Delhi
Baba Sweets Snacks And Namkeen,Sweets- Snacks,4.3,20+ ratings,4,Janakpuri,Yes,Delhi
Kartoon Cafe,Indian- Chinese,4.1,100+ ratings,4,Janakpuri,No,Delhi
Patty World,Chinese- Desserts,2.8,20+ ratings,5,Janakpuri,No,Delhi
Ghar Si Rasoi,North Indian- Chinese,4.8,10+ ratings,5,JANAKPURI,No,Delhi
Dilli Tawa Parantha,North Indian,3.3,1K+ ratings,5,Janakpuri,No,Delhi
Jaipur Delights,North Indian- Chinese,5,10+ ratings,5,JANAKPURI,No,Delhi
Coffee Gram,Beverages- Pizzas,5,10+ ratings,4,Janakpuri,No,Delhi
Good Health Kitchen,North Indian,--,Too Few Ratings,4,Janakpuri,Yes,Delhi
Indian Curry Box,North Indian- Chinese,5,10+ ratings,5,JANAKPURI,No,Delhi
Aunty Special Tawa Paratha,North Indian,3.6,50+ ratings,5,Janakpuri,No,Delhi
Swadisht Bhog,North Indian- Chinese,NEW,,5,JANAKPURI,No,Delhi
Delhi Paratha Company,North Indian- Indian,2.9,20+ ratings,5,Janakpuri,No,Delhi
Uncle Tony,Chinese- Tandoor,4.3,100+ ratings,5,Janakpuri,No,Delhi
Chhajju Ram,Indian- Sweets,3,10+ ratings,4,Janakpuri,Yes,Delhi
Balaji Food Plaza,South Indian- Burgers,4.1,50+ ratings,4,Janakpuri,Yes,Delhi
Saurav Paan,Paan- Desserts,3.4,500+ ratings,4,Janakpuri,Yes,Delhi
7 KNIGHTS KITCHEN,Chinese- Snacks,4.4,8 ratings,4,Janakpuri,No,Delhi
Punjabi Family Restaurant,North Indian,3.3,50+ ratings,5,Janakpuri,Yes,Delhi
Atmarams Sweets,Sweets,--,Too Few Ratings,4,Janakpuri,Yes,Delhi
Parantha Treat,North Indian- Snacks,NEW,,5,Janakpuri,Yes,Delhi
Delhi Tiffins,North Indian,4.4,1K+ ratings,5,Janakpuri,Yes,Delhi
Delicieux,Bakery- Chinese,4.2,10K+ ratings,5,Janakpuri,No,Delhi
Chai Thela Cafe,Fast Food- Beverages,3.8,100+ ratings,5,Janakpuri,No,Delhi
Slice Of Italy,Pizzas- Italian,3.7,1K+ ratings,4,Janakpuri,No,Delhi
Lahore Cake Shop,Bakery- Ice Cream,1.7,10+ ratings,4,Janakpuri,Yes,Delhi
Jumboking Indian Burger,American- Burgers,--,Too Few Ratings,5,Janakpuri,Yes,Delhi
The Home Food,North Indian- Snacks,--,Too Few Ratings,4,Janakpuri,Yes,Delhi
New Madras Cafe,Indian,4.1,4 ratings,4,Janakpuri,No,Delhi
Yummy Tummy,Indian- North Indian,3.4,10+ ratings,5,Janakpuri,No,Delhi
Garam Masala,North Indian- Mughlai,4.1,6 ratings,4,Janakpuri,No,Delhi
Food Junction,Maharashtrian- North Indian,3.9,1K+ ratings,0,Janakpuri,Yes,Delhi
Giani Ice Cream,Desserts- Ice Cream,3.8,1K+ ratings,5,Janakpuri,Yes,Delhi
Delhi Darbar,Indian,3.6,100+ ratings,5,Janakpuri,No,Delhi
Chef'S Kitchen,Indian,4.2,50+ ratings,5,Janakpuri,No,Delhi
Dilli Dhaba,Indian- Snacks,NEW,,5,Janakpuri,No,Delhi
Punjabi Chaap Corner,Indian- Snacks,4.3,50+ ratings,4,Janakpuri,Yes,Delhi
Iceberg Organic Icecreams,Ice Cream,NEW,,5,Janakpuri,Yes,Delhi
White Cub,Ice Cream- Desserts,4.7,50+ ratings,5,Janakpuri,Yes,Delhi
Ganesh Bakery,Desserts,4.6,20+ ratings,4,Janakpuri,No,Delhi
Reliable Food Court,Indian- Chinese,--,Too Few Ratings,4,Janakpuri,No,Delhi
Sindhi Namkeen & More,Indian- Gujarati,3.7,10+ ratings,4,Moti Nagar,Yes,Delhi
Wah Ji Wah,North Indian- Mughlai,3.5,1K+ ratings,5,Janakpuri,No,Delhi
IGP Sweets,Desserts- Bakery,NEW,,4,Janakpuri,No,Delhi
Toki Yo - Authentic Japanese By Oriental Mom,Japanese- Sushi,4.1,10+ ratings,5,Janakpuri,No,Delhi
Chinese Factory,Rolls & Wraps- Snacks,3.9,10+ ratings,5,Janakpuri,No,Delhi
Magic Masala,Chinese- Indian,--,Too Few Ratings,5,Janakpuri,No,Delhi
Shawarma Factory,Lebanese- Burgers,3.8,50+ ratings,5,Janakpuri,No,Delhi
Brother'S Bakers Vikaspuri,Bakery- Fast Food,--,Too Few Ratings,5,Janakpuri,Yes,Delhi
Bharat Restaurants Chicken & Mutton Point,North Indian- Chinese,4.3,4 ratings,4,Janakpuri,No,Delhi
Madaan Snacks,Snacks- Chinese,--,Too Few Ratings,5,Janakpuri,Yes,Delhi
Sahyog Ram Paan,Paan,--,Too Few Ratings,4,Janakpuri,Yes,Delhi
New Chawla Veg Corner,North Indian- Tandoor,4.2,100+ ratings,5,Janakpuri,Yes,Delhi
Bhogal Meat Point,Indian,5,4 ratings,4,Janakpuri,No,Delhi
Just Eggs,Burgers,--,Too Few Ratings,4,Janakpuri,No,Delhi
Uncle Ji Special Omelette,Snacks,--,Too Few Ratings,4,Janakpuri,No,Delhi
Apni Roti,North Indian,--,Too Few Ratings,5,Janakpuri,No,Delhi
YangWay,Chinese- Beverages,--,Too Few Ratings,5,Janakpuri,No,Delhi
Midnight Paratha Hub,North Indian- Snacks,5,3 ratings,4,Janakpuri,Yes,Delhi
Masala Factory [Chinese & More],Chinese,4.1,50+ ratings,0,Janakpuri,No,Delhi
Daddy Swaad,Indian,4.3,4 ratings,4,Janakpuri,Yes,Delhi
Italian Mama,Pastas- Burgers,NEW,,4,Janakpuri,No,Delhi
Naansence,North Indian- Chinese,4.2,10+ ratings,5,Janakpuri,No,Delhi
Fly High Restaurant,North Indian- Tandoor,4.5,10+ ratings,4,Janakpuri,Yes,Delhi
Amit Chaap Corner,Snacks- Chinese,--,Too Few Ratings,4,Janakpuri,Yes,Delhi
The House Of Platters,Chinese- Beverages,3.7,4 ratings,4,Janakpuri,No,Delhi
Bao Chow,Chinese,2.8,50+ ratings,5,Janakpuri,No,Delhi
Spice Hi Restaurant,Chinese- Snacks,--,Too Few Ratings,4,Janakpuri,No,Delhi
Crave Crisps,Burgers- Fast Food,--,Too Few Ratings,5,Janakpuri,No,Delhi
Salad And Shake,Salads,--,Too Few Ratings,4,Janakpuri,No,Delhi
Nayra Foods,Andhra- Hyderabadi,4,9 ratings,5,Janakpuri,No,Delhi
Food On Flames,Chinese- Pizzas,4,10+ ratings,5,Janakpuri,No,Delhi
Pizza Brand,Pizzas- Italian,--,Too Few Ratings,5,Janakpuri,Yes,Delhi
Swagatam,South Indian- Beverages,4.2,500+ ratings,5,Janakpuri,No,Delhi
Pet Ki Khatir,North Indian- Indian,--,Too Few Ratings,4,Janakpuri,No,Delhi
Delhi Veg Chinese,Chinese,4.7,5 ratings,4,Janakpuri,Yes,Delhi
Rice & Parantha Hub,North Indian- Snacks,--,Too Few Ratings,4,Janakpuri,No,Delhi
Makhan Paaji,Indian- Mughlai,--,Too Few Ratings,4,Janakpuri,No,Delhi
Palazzo Inn,Indian,4,50+ ratings,4,Janakpuri,Yes,Delhi
Choice Shawarma,Indian- Arabian,4.4,3 ratings,5,Janakpuri,Yes,Delhi
Bubble Bliss,Beverages- Desserts,4.6,20+ ratings,4,Janakpuri,No,Delhi
Indian Desi Rasoi,North Indian- Indian,3.9,9 ratings,4,Janakpuri,Yes,Delhi
The Momo Chutney,Chinese- Asian,4.2,1K+ ratings,5,Janakpuri,No,Delhi
Eco Meals,North Indian,NEW,,5,Janakpuri,No,Delhi
The Shawarma Factory,Arabian- Chinese,3.7,4 ratings,4,Janakpuri,No,Delhi
Cafeme Diner,Indian,4.5,20+ ratings,4,Janakpuri,No,Delhi
The Foodie Wok,Chinese- Italian,4.4,100+ ratings,4,Janakpuri,No,Delhi
Grameen Kulfi,Ice Cream- Desserts,4.8,100+ ratings,0,Damodarpur,Yes,Dhanbad
Grill Inn,Burgers- Pizzas,3.6,100+ ratings,4,Damodarpur,No,Dhanbad
Wenger Bakers,Bakery- Snacks,4.1,1K+ ratings,4,Damodarpur,Yes,Dhanbad
Quick Bites,Chinese- Fast Food,4.3,500+ ratings,4,Damodarpur,No,Dhanbad
Vella Pizza Cafe,Pizzas- Fast Food,3.7,20+ ratings,4,Damodarpur,Yes,Dhanbad
New Mb'S Sweet & Snacks,Sweets- North Indian,4.2,100+ ratings,4,Jalukpara,Yes,Dibrugarh
Hotel Tree Fern,North Indian- Tandoor,4.3,100+ ratings,4,Amolapatty,No,Dibrugarh
Gul Mohar Restaurant,North Indian- Biryani,4.2,100+ ratings,4,Amolapatty,No,Dibrugarh
Hotel Maurya,North Indian- Chinese,4.1,100+ ratings,5,Jhalukpara,No,Dibrugarh
Delhi Biryani,Biryani- North Indian,4.3,100+ ratings,4,Amolapatty,No,Dibrugarh
The Houze Of Biryani'S & Kebab'S,Biryani- Kebabs,NEW,,0,Greater Faridabad,No,Faridabad
Apni Rasoi,Indian- Chinese,NEW,,4,Gaya City,Yes,Gaya
Chai Sutta Bar,Beverages- Fast Food,3.2,5 ratings,4,Gaya City,Yes,Gaya
Cake Walk,Bakery,4.1,9 ratings,5,Gaya City,Yes,Gaya
Vadilal Ice Creams,Ice Cream- Desserts,4.4,20+ ratings,4,Gaya City,Yes,Gaya
Burger Singh (Big Punjabi Burgers),Burgers- Snacks,4.2,100+ ratings,5,Gaya City,No,Gaya
Punjabi Junction,Punjabi- North Indian,NEW,,5,Gaya City,Yes,Gaya
Pind Balluchi,Mughlai- North Indian,4.2,100+ ratings,5,Gaya City,No,Gaya
Butler Box,North Indian- Chinese,NEW,,4,Gaya City,No,Gaya
Pramod Laddu Bhandar -Tower Chowk,Indian,4.7,10+ ratings,4,Gaya City,No,Gaya
The Cake Company,Bakery,2.6,3 ratings,5,Gaya City,Yes,Gaya
Kake Di Hatti,North Indian- Tandoor,NEW,,4,Gaya City,Yes,Gaya
7th Heaven Restaurant,Indian- Pizzas,2.7,6 ratings,4,Gaya City,Yes,Gaya
Pramod Laddu Bhandar -Church Road,Indian- Sweets,4.7,20+ ratings,4,Gaya City,No,Gaya
The Pizza Point,Pizzas- Burgers,2.2,9 ratings,5,Gaya City,Yes,Gaya
Cake Culture,Bakery,3.5,7 ratings,5,Gaya City,Yes,Gaya
Amazing Bakery,Bakery,3,6 ratings,5,Gaya City,Yes,Gaya
Classic Bakery,Bakery,4.5,5 ratings,5,Gaya City,Yes,Gaya
Om Kitchen,North Indian- Biryani,4.5,50+ ratings,5,Gaya City,Yes,Gaya
Utsav Cake,Bakery,4,9 ratings,4,Gaya City,Yes,Gaya
The Royalz Cafe Kitchen Club,Chinese- Fast Food,3.6,10+ ratings,5,Gaya City,No,Gaya
Tarunika Foods & Confectionery,South Indian- Chinese,3.9,10+ ratings,4,Gaya City,Yes,Gaya
Cake Creation,Bakery,--,Too Few Ratings,5,Gaya City,Yes,Gaya
Rajasthan Bakery,Bakery,--,Too Few Ratings,5,Gaya City,Yes,Gaya
Kadak Singh Da Dhaba,Chinese- Fast Food,NEW,,5,Gaya City,Yes,Gaya
Custom Bakery,Bakery,--,Too Few Ratings,5,Gaya City,Yes,Gaya
The Cup Cake,Bakery,--,Too Few Ratings,5,Gaya City,Yes,Gaya
Celebration Cake & Bakery,Bakery,4.3,4 ratings,5,Gaya City,Yes,Gaya
Taste In Moradabadi Restaurant,Chinese- Fast Food,NEW,,4,Gaya City,No,Gaya
Tandoori Spice Restaurant,Chinese- Snacks,--,Too Few Ratings,4,Gaya City,No,Gaya
BIRYANI KING A FAMILY RESTAURANT,Biryani- North Indian,NEW,,5,Gaya City,No,Gaya
9 To 9 Biryani Street Food,North Indian- Chinese,3.2,7 ratings,5,Gaya City,No,Gaya
New Biriyani Club,Biryani- Chinese,NEW,,5,Gaya City,No,Gaya
Teste Affairs Restaurant,North Indian- Chinese,5,3 ratings,5,Gaya City,No,Gaya
Bilu Pilu,Chinese- Indian,NEW,,5,Gaya City,No,Gaya
Momo Amore,Chinese,3.2,9 ratings,4,Gaya city,Yes,Gaya
Kebab Xpress,Snacks,2.8,3 ratings,4,Gaya City,No,Gaya
Indian Masala House,Indian- Chinese,--,Too Few Ratings,4,Gaya City,No,Gaya
Sardarji Malai Chaap Wale,Indian- Tandoor,3.1,20+ ratings,4,Gaya City,Yes,Gaya
The Pastry Box,Bakery,--,Too Few Ratings,5,Gaya City,Yes,Gaya
36 China Town,Chinese,NEW,,4,Gaya City,No,Gaya
Pramodh Veg,North Indian- Chinese,NEW,,4,Gaya City,Yes,Gaya
Aroma House,Indian,5,5 ratings,5,Gaya City,Yes,Gaya
Burger Mafia,Burgers- Fast Food,--,Too Few Ratings,4,Gaya City,Yes,Gaya
Mahalaxmi Sweets Pure Veg Restaurant,Sweets- North Indian,4.2,8 ratings,4,Gaya City,Yes,Gaya
King Biryani House,Biryani- Fast Food,NEW,,5,Gaya City,No,Gaya
Lal And Sons The Pizza Hub,Indian,3.3,5 ratings,4,Gaya City,Yes,Gaya
The Jail Cafe And Restaurant,Cafe- North Indian,--,Too Few Ratings,4,Gaya City,No,Gaya
Behruz Biryani,Kebabs- Desserts,NEW,,4,Gaya City,No,Gaya
Al-Jazeerah,Indian- North Indian,NEW,,4,Gaya City,No,Gaya
One Bite Gaya,Burgers- Pizzas,4.3,10+ ratings,5,Gaya City,No,Gaya
Muskan Matka Biryani & Bhojnalaya,Snacks- Chinese,--,Too Few Ratings,4,Gaya City,No,Gaya
Momos Style Cafe,Fast Food- Beverages,NEW,,5,Gaya City,No,Gaya
Sujeet Fast Food,North Indian- Chinese,3.7,4 ratings,4,Gaya City,No,Gaya
Burger & Momos,Burgers- Fast Food,NEW,,5,Gaya City,No,Gaya
Seven Eleven Cake And Bakery,Bakery- Cakes and Pastries,NEW,,5,Gaya City,Yes,Gaya
Rolls & Momo Cafe,Indian- Chinese,NEW,,5,Gaya City,No,Gaya
Old Biryani House,Biryani- Snacks,3.8,20+ ratings,5,Gaya City,No,Gaya
Yummy In Tummy Veg Restaurant,North Indian- Chinese,NEW,,4,Gaya City,Yes,Gaya
Maharani Ice Cream Corner,Ice Cream,3.9,4 ratings,4,Gaya City,Yes,Gaya
Ashirwad Bakery And Cake Shop,Bakery,2.8,5 ratings,4,Gaya City,Yes,Gaya
Biryani Corner & Family Restaurant,Chinese- North Indian,3.8,1K+ ratings,4,Gaya City,No,Gaya
Mitron Bite-Yaaron Ka Adda,Fast Food- Burgers,NEW,,4,Gaya City,Yes,Gaya
Kubereshwar Bakery,Snacks- Pizzas,NEW,,4,Gaya City,Yes,Gaya
Nasta Khana,South Indian- North Indian,NEW,,4,Gaya City,Yes,Gaya
Albela Biryani,Biryani,4.4,10+ ratings,4,Gaya City,No,Gaya
Mona Biryani And Fast Food Corner,Biryani- Chinese,--,Too Few Ratings,4,Gaya City,No,Gaya
Veg Plaza Pramod Laddu,North Indian- South Indian,4.3,20+ ratings,4,Gaya City,Yes,Gaya
Rasoighar Family Restaurant,North Indian- Chinese,3.8,3 ratings,5,Gaya City,Yes,Gaya
Apna Manpasand Restaurant,Pizzas,2.3,5 ratings,5,Gaya City,No,Gaya
Takway,Chinese- Snacks,NEW,,4,Gaya City,No,Gaya
Spirant'S Chai,Chinese,4.1,10+ ratings,4,Gaya City,No,Gaya
Mona Biryani,Italian- Chinese,--,Too Few Ratings,4,Gaya City,No,Gaya
Bodhgaya City Cafe Restaurant,Mughlai- North Indian,--,Too Few Ratings,4,Gaya City,Yes,Gaya
Sri Shree Ji Sweets,Sweets- Snacks,4.1,10+ ratings,5,Gaya City,Yes,Gaya
1 Bite Pizza,Indian,--,Too Few Ratings,5,Gaya City,No,Gaya
Delhi 6 Pure Veg,North Indian- Chinese,NEW,,4,Gaya City,Yes,Gaya
Chaska Spice Affair,Indian- Fast Food,NEW,,5,Gaya City,Yes,Gaya
Kwality Wall'S Ice Cream,Ice Cream- Fast Food,4.2,20+ ratings,5,Gaya City,Yes,Gaya
Sanju Dhaba,Indian,5,3 ratings,4,Gaya City,No,Gaya
Sanjay Kumar (Sanju Dhaba 2),Indian,--,Too Few Ratings,4,Gaya City,No,Gaya
Bihari Dhaba UDIPI Darden,North Indian- Chinese,NEW,,5,Gaya City,Yes,Gaya
The Jungle Family Restaurant,North Indian- Chinese,NEW,,5,Gaya City,No,Gaya
Amit Daav Wala,Indian,--,Too Few Ratings,4,Gaya City,Yes,Gaya
Prabhuji Snacks,North Indian- Pizzas,2.5,10+ ratings,4,Gaya City,Yes,Gaya
Red 2 Chiili,Snacks- Chinese,--,Too Few Ratings,5,Gaya City,No,Gaya
Dil Khush Family Restaurant & Fast Food,Chinese- Snacks,NEW,,4,Gaya City,No,Gaya
Shri Krishana Sweets And Pizaa Point,Pizzas- Burgers,4.3,10+ ratings,5,Gaya City,No,Gaya
Meghna Foods Bihari Dhaba,North Indian- South Indian,NEW,,5,Gaya City,Yes,Gaya
Desi Street Restaurant And Cafe,North Indian- Chinese,--,Too Few Ratings,5,Gaya City,No,Gaya
Bihari Pizza,Pizzas- Burgers,2.4,7 ratings,5,Gaya City,Yes,Gaya
5 Start Close Kitchen,Chinese- North Indian,--,Too Few Ratings,5,Gaya City,Yes,Gaya
Momo National World,Chinese- Pizzas,3.4,5 ratings,5,Gaya City,Yes,Gaya
Shake Island,Beverages- Fast Food,NEW,,4,Gaya City,Yes,Gaya
Burger Gossip,Burgers- Snacks,NEW,,4,Gaya City,No,Gaya
Da Pizzeria House,Pizzas,NEW,,4,Gaya City,No,Gaya
Da Chef'S Way Cafe,Fast Food,NEW,,4,Gaya City,Yes,Gaya
Wraps & Roll,North Indian- Chinese,2.8,3 ratings,5,Gaya City,Yes,Gaya
Champran Meat Housee,Indian- Chinese,--,Too Few Ratings,4,Gaya City,No,Gaya
The Delicious Eating House,North Indian- Burgers,NEW,,4,Gaya City,Yes,Gaya
Momomia,Chinese,4.2,20+ ratings,4,Gaya City,No,Gaya
Sardar Ji Malai Chaap,Snacks- Tandoor,NEW,,4,Gaya City,No,Gaya
Shalimar Biryani,Biryani,NEW,,5,Gaya City,No,Gaya
The Biryani Chapter,Biryani- Chinese,--,Too Few Ratings,5,Gaya City,No,Gaya
Veerji Malai Chaap Corner,Snacks,3.7,100+ ratings,5,Fazilpur,Yes,Gurgaon
Elsa'S Cafe,Fast Food- Pizzas,3.7,7 ratings,5,Badshapur,No,Gurgaon
Sweetness Everywhere,Sweets,2.6,6 ratings,5,Cyber City,Yes,Gurgaon
Chaap Factory,North Indian- Snacks,--,Too Few Ratings,4,Fazilpur,Yes,Gurgaon
The Licious Kitchen,North Indian- Kebabs,4,20+ ratings,5,Huda City,No,Gurgaon
Barista Diner,Beverages- Fast Food,4.3,10+ ratings,5,Gurgaon,No,Gurgaon
Spice Of Taj,Indian- South Indian,4.7,10+ ratings,5,Huda City,No,Gurgaon
A1 Biryani And Restaurant,Biryani,2,20+ ratings,5,Cyber City,No,Gurgaon
The Haleem Biryani,Biryani- Haleem,--,Too Few Ratings,5,Fazilpur,No,Gurgaon
Nawabdaari,Indian- Biryani,4.6,10+ ratings,4,Huda City,No,Gurgaon
Beyond Paratha'S,Indian- North Indian,--,Too Few Ratings,4,Gurgaon,Yes,Gurgaon
Siya Ram Mithai,Sweets,--,Too Few Ratings,5,Cyber City,Yes,Gurgaon
Taco Bell,Mexican,4.2,1K+ ratings,5,GS Road,No,Guwahati
Metro Spice,Indian- Chinese,4.3,10K+ ratings,5,GS Road,No,Guwahati
RJ Bistro,Chinese- Snacks,4.2,10K+ ratings,5,Zoo Tiniali,No,Guwahati
Kori'S,Korean- Sushi,4.4,1K+ ratings,5,Zoo Tiniali,No,Guwahati
Aamis,Indian- Snacks,3.3,10+ ratings,5,Bamunimaidan,No,Guwahati
Vaibhavam Sweets & Restaurant,Sweets- North Indian,4.6,5K+ ratings,4,Zoo Tiniali,Yes,Guwahati
Vanilla Grain,Bakery- Cafe,4.3,100+ ratings,5,Zoo Tiniali,Yes,Guwahati
China Town Restaurant,Chinese,4.4,500+ ratings,4,Zoo Tiniali,No,Guwahati
Freemason'S Brewworks,Indian- Italian-American,4.2,50+ ratings,5,GS Road,No,Guwahati
Ascend (Resto Lounge Bar),Konkan- Pan-Asian,4.5,10+ ratings,5,GS Road,No,Guwahati
The Guwahati Address By Centre Point,Bengali- Continental,4.4,100+ ratings,4,Zoo Tiniali,No,Guwahati
Shanghai Salsa,Continental- Chinese,4.1,100+ ratings,4,Zoo Tiniali,No,Guwahati
Guwahati Cake Decor,Bakery- Burgers,--,Too Few Ratings,5,Zoo Tiniali,Yes,Guwahati
AFB (Assam'S Finest Burger),Burgers- Beverages,NEW,,4,Zoo Tiniali,Yes,Guwahati
Dinner Delight (Food With Tradition,Chinese- Thalis,--,Too Few Ratings,4,Zoo Tiniali,No,Guwahati
JBs,Sweets- South Indian,4.5,10K+ ratings,5,Fancy Bazar,Yes,Guwahati
